:START_ID,:END_ID,:TYPE,object_type,source_caseid,observed_date,confidence
1000013,4440988776655001,MENTIONS,accounts,1000013,2026-06-16,1.0
1000013,4440988776655007,MENTIONS,accounts,1000013,2026-06-16,1.0
1000013,4440988776655004,MENTIONS,accounts,1000013,2026-06-16,1.0
1000013,earnfast001@paytm,MENTIONS,upis,1000013,2026-06-16,1.0
1000013,jobapp007@hdfcbank,MENTIONS,upis,1000013,2026-06-16,1.0
1000013,quickjob004@oksbi,MENTIONS,upis,1000013,2026-06-16,1.0
1000013,353816081234502,MENTIONS,imeis,1000013,2026-06-16,1.0
1000013,103.74.19.144,MENTIONS,ips,1000013,2026-06-16,1.0
1000014,3538160812,MENTIONS,phones,1000014,2026-06-16,1.0
1000014,4440988776655003,MENTIONS,accounts,1000014,2026-06-16,1.0
1000014,4440988776655006,MENTIONS,accounts,1000014,2026-06-16,1.0
1000014,4440988776655005,MENTIONS,accounts,1000014,2026-06-16,1.0
1000014,dailywork003@fino,MENTIONS,upis,1000014,2026-06-16,1.0
1000014,worker006@icici,MENTIONS,upis,1000014,2026-06-16,1.0
1000014,simpletask005@okhdfcbank,MENTIONS,upis,1000014,2026-06-16,1.0
1000014,353816081234501,MENTIONS,imeis,1000014,2026-06-16,1.0
1000014,103.74.19.143,MENTIONS,ips,1000014,2026-06-16,1.0
1000015,3538160812,MENTIONS,phones,1000015,2026-06-16,1.0
1000015,4440988776655003,MENTIONS,accounts,1000015,2026-06-16,1.0
1000015,4440988776655006,MENTIONS,accounts,1000015,2026-06-16,1.0
1000015,4440988776655004,MENTIONS,accounts,1000015,2026-06-16,1.0
1000015,dailywork003@fino,MENTIONS,upis,1000015,2026-06-16,1.0
1000015,worker006@icici,MENTIONS,upis,1000015,2026-06-16,1.0
1000015,quickjob004@oksbi,MENTIONS,upis,1000015,2026-06-16,1.0
1000015,353816081234501,MENTIONS,imeis,1000015,2026-06-16,1.0
1000015,103.74.19.141,MENTIONS,ips,1000015,2026-06-16,1.0
1000016,3538160812,MENTIONS,phones,1000016,2026-06-26,1.0
1000016,4440988776655006,MENTIONS,accounts,1000016,2026-06-26,1.0
1000016,4440988776655001,MENTIONS,accounts,1000016,2026-06-26,1.0
1000016,4440988776655004,MENTIONS,accounts,1000016,2026-06-26,1.0
1000016,4440988776655002,MENTIONS,accounts,1000016,2026-06-26,1.0
1000016,worker006@icici,MENTIONS,upis,1000016,2026-06-26,1.0
1000016,earnfast001@paytm,MENTIONS,upis,1000016,2026-06-26,1.0
1000016,quickjob004@oksbi,MENTIONS,upis,1000016,2026-06-26,1.0
1000016,taskpro002@airtel,MENTIONS,upis,1000016,2026-06-26,1.0
1000016,353816081234501,MENTIONS,imeis,1000016,2026-06-26,1.0
1000016,103.74.19.142,MENTIONS,ips,1000016,2026-06-26,1.0
1000017,3538160812,MENTIONS,phones,1000017,2026-06-13,1.0
1000017,4440988776655005,MENTIONS,accounts,1000017,2026-06-13,1.0
1000017,4440988776655003,MENTIONS,accounts,1000017,2026-06-13,1.0
1000017,4440988776655007,MENTIONS,accounts,1000017,2026-06-13,1.0
1000017,simpletask005@okhdfcbank,MENTIONS,upis,1000017,2026-06-13,1.0
1000017,dailywork003@fino,MENTIONS,upis,1000017,2026-06-13,1.0
1000017,jobapp007@hdfcbank,MENTIONS,upis,1000017,2026-06-13,1.0
1000017,353816081234505,MENTIONS,imeis,1000017,2026-06-13,1.0
1000017,103.74.19.142,MENTIONS,ips,1000017,2026-06-13,1.0
1000018,3538160812,MENTIONS,phones,1000018,2026-06-17,1.0
1000018,4440988776655007,MENTIONS,accounts,1000018,2026-06-17,1.0
1000018,4440988776655006,MENTIONS,accounts,1000018,2026-06-17,1.0
1000018,4440988776655001,MENTIONS,accounts,1000018,2026-06-17,1.0
1000018,4440988776655002,MENTIONS,accounts,1000018,2026-06-17,1.0
1000018,jobapp007@hdfcbank,MENTIONS,upis,1000018,2026-06-17,1.0
1000018,worker006@icici,MENTIONS,upis,1000018,2026-06-17,1.0
1000018,earnfast001@paytm,MENTIONS,upis,1000018,2026-06-17,1.0
1000018,taskpro002@airtel,MENTIONS,upis,1000018,2026-06-17,1.0
1000018,353816081234501,MENTIONS,imeis,1000018,2026-06-17,1.0
1000018,103.74.19.143,MENTIONS,ips,1000018,2026-06-17,1.0
1000019,3538160812,MENTIONS,phones,1000019,2026-06-10,1.0
1000019,4440988776655003,MENTIONS,accounts,1000019,2026-06-10,1.0
1000019,4440988776655006,MENTIONS,accounts,1000019,2026-06-10,1.0
1000019,dailywork003@fino,MENTIONS,upis,1000019,2026-06-10,1.0
1000019,worker006@icici,MENTIONS,upis,1000019,2026-06-10,1.0
1000019,353816081234502,MENTIONS,imeis,1000019,2026-06-10,1.0
1000019,103.74.19.141,MENTIONS,ips,1000019,2026-06-10,1.0
1000020,3538160812,MENTIONS,phones,1000020,2026-06-07,1.0
1000020,4440988776655001,MENTIONS,accounts,1000020,2026-06-07,1.0
1000020,4440988776655002,MENTIONS,accounts,1000020,2026-06-07,1.0
1000020,earnfast001@paytm,MENTIONS,upis,1000020,2026-06-07,1.0
1000020,taskpro002@airtel,MENTIONS,upis,1000020,2026-06-07,1.0
1000020,353816081234504,MENTIONS,imeis,1000020,2026-06-07,1.0
1000020,103.74.19.143,MENTIONS,ips,1000020,2026-06-07,1.0
1000021,3538160812,MENTIONS,phones,1000021,2026-06-15,1.0
1000021,4440988776655002,MENTIONS,accounts,1000021,2026-06-15,1.0
1000021,4440988776655001,MENTIONS,accounts,1000021,2026-06-15,1.0
1000021,taskpro002@airtel,MENTIONS,upis,1000021,2026-06-15,1.0
1000021,earnfast001@paytm,MENTIONS,upis,1000021,2026-06-15,1.0
1000021,353816081234503,MENTIONS,imeis,1000021,2026-06-15,1.0
1000021,103.74.19.143,MENTIONS,ips,1000021,2026-06-15,1.0
1000022,3538160812,MENTIONS,phones,1000022,2026-06-09,1.0
1000022,4440988776655005,MENTIONS,accounts,1000022,2026-06-09,1.0
1000022,4440988776655004,MENTIONS,accounts,1000022,2026-06-09,1.0
1000022,4440988776655003,MENTIONS,accounts,1000022,2026-06-09,1.0
1000022,4440988776655006,MENTIONS,accounts,1000022,2026-06-09,1.0
1000022,simpletask005@okhdfcbank,MENTIONS,upis,1000022,2026-06-09,1.0
1000022,quickjob004@oksbi,MENTIONS,upis,1000022,2026-06-09,1.0
1000022,dailywork003@fino,MENTIONS,upis,1000022,2026-06-09,1.0
1000022,worker006@icici,MENTIONS,upis,1000022,2026-06-09,1.0
1000022,353816081234503,MENTIONS,imeis,1000022,2026-06-09,1.0
1000022,103.74.19.143,MENTIONS,ips,1000022,2026-06-09,1.0
1000023,3538160812,MENTIONS,phones,1000023,2026-06-12,1.0
1000023,4440988776655006,MENTIONS,accounts,1000023,2026-06-12,1.0
1000023,4440988776655001,MENTIONS,accounts,1000023,2026-06-12,1.0
1000023,4440988776655003,MENTIONS,accounts,1000023,2026-06-12,1.0
1000023,4440988776655005,MENTIONS,accounts,1000023,2026-06-12,1.0
1000023,worker006@icici,MENTIONS,upis,1000023,2026-06-12,1.0
1000023,earnfast001@paytm,MENTIONS,upis,1000023,2026-06-12,1.0
1000023,dailywork003@fino,MENTIONS,upis,1000023,2026-06-12,1.0
1000023,simpletask005@okhdfcbank,MENTIONS,upis,1000023,2026-06-12,1.0
1000023,353816081234505,MENTIONS,imeis,1000023,2026-06-12,1.0
1000023,103.74.19.143,MENTIONS,ips,1000023,2026-06-12,1.0
1000024,INDP_ACC_BASE_01_63262,MENTIONS,accounts,1000024,2026-05-16,1.0
1000024,baseline.task01@okicici,MENTIONS,upis,1000024,2026-05-16,1.0
1000025,INDP_ACC_BASE_02_85592,MENTIONS,accounts,1000025,2026-03-24,1.0
1000025,baseline.task02@okicici,MENTIONS,upis,1000025,2026-03-24,1.0
1000026,INDP_ACC_BASE_03_65220,MENTIONS,accounts,1000026,2026-04-24,1.0
1000026,baseline.task03@okicici,MENTIONS,upis,1000026,2026-04-24,1.0
1000027,INDP_ACC_BASE_04_78448,MENTIONS,accounts,1000027,2026-04-08,1.0
1000027,baseline.task04@okicici,MENTIONS,upis,1000027,2026-04-08,1.0
1000028,INDP_ACC_BASE_05_53918,MENTIONS,accounts,1000028,2026-06-02,1.0
1000028,baseline.task05@okicici,MENTIONS,upis,1000028,2026-06-02,1.0
1000029,9697361173,MENTIONS,phones,1000029,2025-12-15,1.0
1000029,BG85604479315,MENTIONS,accounts,1000029,2025-12-15,1.0
1000029,rajeshga88@okicici,MENTIONS,upis,1000029,2025-12-15,1.0
1000030,9225535993,MENTIONS,phones,1000030,2026-05-23,1.0
1000030,BG47854412967,MENTIONS,accounts,1000030,2026-05-23,1.0
1000031,9753754077,MENTIONS,phones,1000031,2026-05-15,1.0
1000031,BG33085184581,MENTIONS,accounts,1000031,2026-05-15,1.0
1000031,ajayacha43@okicici,MENTIONS,upis,1000031,2026-05-15,1.0
1000032,9680613283,MENTIONS,phones,1000032,2025-11-28,1.0
1000032,BG66373121445,MENTIONS,accounts,1000032,2025-11-28,1.0
1000032,pradeepv95@okicici,MENTIONS,upis,1000032,2025-11-28,1.0
1000033,9644425867,MENTIONS,phones,1000033,2026-04-18,1.0
1000033,BG28261026675,MENTIONS,accounts,1000033,2026-04-18,1.0
1000033,ajaypate67@okicici,MENTIONS,upis,1000033,2026-04-18,1.0
1000034,9534308020,MENTIONS,phones,1000034,2025-09-21,1.0
1000034,BG47966341235,MENTIONS,accounts,1000034,2025-09-21,1.0
1000034,harishla82@okicici,MENTIONS,upis,1000034,2025-09-21,1.0
1000035,9304967461,MENTIONS,phones,1000035,2025-11-28,1.0
1000035,BG59026049626,MENTIONS,accounts,1000035,2025-11-28,1.0
1000036,9482479207,MENTIONS,phones,1000036,2026-04-06,1.0
1000036,BG41943151749,MENTIONS,accounts,1000036,2026-04-06,1.0
1000036,siddappa52@okicici,MENTIONS,upis,1000036,2026-04-06,1.0
1000037,9961196548,MENTIONS,phones,1000037,2025-09-08,1.0
1000037,BG27792504963,MENTIONS,accounts,1000037,2025-09-08,1.0
1000037,venkates74@okicici,MENTIONS,upis,1000037,2025-09-08,1.0
1000038,9517310810,MENTIONS,phones,1000038,2026-03-26,1.0
1000038,BG71901301368,MENTIONS,accounts,1000038,2026-03-26,1.0
1000038,saralash91@okicici,MENTIONS,upis,1000038,2026-03-26,1.0
1000039,9886818568,MENTIONS,phones,1000039,2026-03-08,1.0
1000039,BG32427096475,MENTIONS,accounts,1000039,2026-03-08,1.0
1000040,9677403584,MENTIONS,phones,1000040,2025-09-25,1.0
1000040,BG90359220980,MENTIONS,accounts,1000040,2025-09-25,1.0
1000040,basavara59@okicici,MENTIONS,upis,1000040,2025-09-25,1.0
1000041,9523342545,MENTIONS,phones,1000041,2026-01-17,1.0
1000041,BG25973052265,MENTIONS,accounts,1000041,2026-01-17,1.0
1000041,sunithas25@okicici,MENTIONS,upis,1000041,2026-01-17,1.0
1000042,9669996947,MENTIONS,phones,1000042,2025-08-14,1.0
1000042,BG82261993550,MENTIONS,accounts,1000042,2025-08-14,1.0
1000042,sandeepg91@okicici,MENTIONS,upis,1000042,2025-08-14,1.0
1000043,9451025437,MENTIONS,phones,1000043,2025-08-07,1.0
1000043,BG81215044848,MENTIONS,accounts,1000043,2025-08-07,1.0
1000043,shivabha25@okicici,MENTIONS,upis,1000043,2025-08-07,1.0
1000044,9362155909,MENTIONS,phones,1000044,2025-10-18,1.0
1000044,BG30726384310,MENTIONS,accounts,1000044,2025-10-18,1.0
1000044,mangalav86@okicici,MENTIONS,upis,1000044,2025-10-18,1.0
1000045,9614025492,MENTIONS,phones,1000045,2025-11-13,1.0
1000045,BG16567373140,MENTIONS,accounts,1000045,2025-11-13,1.0
1000045,nalinish12@okicici,MENTIONS,upis,1000045,2025-11-13,1.0
1000046,9922295834,MENTIONS,phones,1000046,2025-08-13,1.0
1000046,BG51222558104,MENTIONS,accounts,1000046,2025-08-13,1.0
1000046,geethala18@okicici,MENTIONS,upis,1000046,2025-08-13,1.0
1000047,9828329713,MENTIONS,phones,1000047,2025-10-29,1.0
1000047,BG64245529443,MENTIONS,accounts,1000047,2025-10-29,1.0
1000047,vinodsub49@okicici,MENTIONS,upis,1000047,2025-10-29,1.0
1000048,9856064317,MENTIONS,phones,1000048,2025-08-18,1.0
1000048,BG77291767160,MENTIONS,accounts,1000048,2025-08-18,1.0
1000048,shanthin93@okicici,MENTIONS,upis,1000048,2025-08-18,1.0
1000049,9179116734,MENTIONS,phones,1000049,2026-02-10,1.0
1000049,BG96612869449,MENTIONS,accounts,1000049,2026-02-10,1.0
1000049,sunithap93@okicici,MENTIONS,upis,1000049,2026-02-10,1.0
1000050,9708939813,MENTIONS,phones,1000050,2026-03-12,1.0
1000050,BG29028523818,MENTIONS,accounts,1000050,2026-03-12,1.0
1000050,nalinipa83@okicici,MENTIONS,upis,1000050,2026-03-12,1.0
1000051,9958195262,MENTIONS,phones,1000051,2025-09-23,1.0
1000051,BG24670331435,MENTIONS,accounts,1000051,2025-09-23,1.0
1000051,bhavanap89@okicici,MENTIONS,upis,1000051,2025-09-23,1.0
1000052,9622744248,MENTIONS,phones,1000052,2026-03-17,1.0
1000052,BG41010877260,MENTIONS,accounts,1000052,2026-03-17,1.0
1000052,arjunkam83@okicici,MENTIONS,upis,1000052,2026-03-17,1.0
1000053,9716603953,MENTIONS,phones,1000053,2026-04-01,1.0
1000053,BG70025550114,MENTIONS,accounts,1000053,2026-04-01,1.0
1000053,rohitkul69@okicici,MENTIONS,upis,1000053,2026-04-01,1.0
1000054,9466881217,MENTIONS,phones,1000054,2026-03-09,1.0
1000054,BG64567105083,MENTIONS,accounts,1000054,2026-03-09,1.0
1000054,virupaks79@okicici,MENTIONS,upis,1000054,2026-03-09,1.0
1000055,9132253270,MENTIONS,phones,1000055,2026-05-13,1.0
1000055,BG88235313465,MENTIONS,accounts,1000055,2026-05-13,1.0
1000056,9529075305,MENTIONS,phones,1000056,2026-01-18,1.0
1000056,BG15448669871,MENTIONS,accounts,1000056,2026-01-18,1.0
1000056,lakshmir54@okicici,MENTIONS,upis,1000056,2026-01-18,1.0
1000057,9102020382,MENTIONS,phones,1000057,2025-08-13,1.0
1000057,BG73118731555,MENTIONS,accounts,1000057,2025-08-13,1.0
1000057,arunmurt20@okicici,MENTIONS,upis,1000057,2025-08-13,1.0
1000058,9764231018,MENTIONS,phones,1000058,2026-02-01,1.0
1000058,BG84455438916,MENTIONS,accounts,1000058,2026-02-01,1.0
1000058,lakshmil68@okicici,MENTIONS,upis,1000058,2026-02-01,1.0
1000059,9782890413,MENTIONS,phones,1000059,2026-03-27,1.0
1000059,BG53872097477,MENTIONS,accounts,1000059,2026-03-27,1.0
1000060,9803183269,MENTIONS,phones,1000060,2025-09-07,1.0
1000060,BG68587929977,MENTIONS,accounts,1000060,2025-09-07,1.0
1000060,basavara25@okicici,MENTIONS,upis,1000060,2025-09-07,1.0
1000061,9374041470,MENTIONS,phones,1000061,2026-02-05,1.0
1000061,BG92919506323,MENTIONS,accounts,1000061,2026-02-05,1.0
1000062,9834217678,MENTIONS,phones,1000062,2026-01-11,1.0
1000062,BG72908629670,MENTIONS,accounts,1000062,2026-01-11,1.0
1000062,sunitham31@okicici,MENTIONS,upis,1000062,2026-01-11,1.0
